HARDNESS,FRIABILITY,Drug_content,Water_absorption_ratio,DISINTEGRATION_TIME
2.2,0.8,0.0,0.0,80.0
1.6,0.8,0.0,0.0,59.0
1.5,0.1,0.0,0.0,34.0
1.5,0.3,0.0,0.0,48.0
2.0,0.1,0.0,0.0,78.0
1.8,0.1,0.0,0.0,95.0
2.2,0.2,0.0,0.0,60.0
1.8,0.2,0.0,0.0,45.0
2.0,0.5,0.0,0.0,69.0
3.2,0.3,0.0,0.0,83.0
1.6,0.3,0.0,0.0,90.0
2.5,0.8,0.0,0.0,120.0
2.0,0.8,0.0,0.0,145.0
1.5,0.1,0.0,0.0,36.0
1.5,0.1,0.0,0.0,47.0
1.5,0.2,0.0,0.0,62.0
1.8,0.1,0.0,0.0,75.0
1.5,0.1,0.0,0.0,82.0
1.8,0.1,0.0,0.0,96.0
1.8,0.1,0.0,0.0,105.0
1.5,0.5,103.6,0.0,45.0
3.97,0.0,105.62,0.0,42.17
4.16,0.0,93.61,0.0,131.0
3.9,0.0,102.71,0.0,28.33
4.5,0.0,97.25,0.0,124.33
3.4,0.0,101.62,0.0,29.0
3.9,0.0,101.55,0.0,93.83
3.26,0.0,100.36,0.0,12.83
4.25,0.0,102.55,0.0,61.5
4.4,0.8,0.0,0.0,31.92
4.1,0.64,0.0,0.0,25.65
3.9,0.92,0.0,0.0,19.28
3.9,0.76,0.0,0.0,24.37
4.1,0.48,0.0,0.0,26.92
4.1,0.77,0.0,0.0,27.67
3.9,0.81,0.0,0.0,28.82
4.0,0.96,0.0,0.0,32.39
3.8,0.39,0.0,0.0,29.61
4.2,0.56,0.0,0.0,22.6
4.7,0.67,0.0,0.0,32.38
3.9,0.84,0.0,0.0,33.44
4.2,0.58,0.0,0.0,34.71
4.1,0.69,0.0,0.0,34.82
4.2,0.88,0.0,0.0,35.1
4.1,0.52,0.0,0.0,28.37
3.9,0.87,0.0,0.0,33.57
4.2,0.79,0.0,0.0,31.56
2.34,0.113,98.98,70.6,13.1
2.29,0.188,99.04,72.33,13.29
2.28,0.162,99.08,71.11,13.12
2.3,0.152,99.13,80.2,11.24
2.12,0.142,99.09,80.35,11.4
2.08,0.2,99.1,79.05,11.5
2.11,0.204,99.14,65.72,8.88
2.03,0.19,99.07,65.05,8.93
2.08,0.193,99.1,65.5,8.85
4.5,0.84,98.32,71.6,8.02
4.8,0.83,97.39,73.45,8.52
4.6,0.75,98.36,76.25,7.01
4.5,0.73,99.0,73.25,7.21
4.29,0.15,0.0,0.0,53.0
3.88,0.21,0.0,0.0,51.0
4.33,0.14,0.0,0.0,34.0
4.09,0.1,0.0,0.0,30.0
3.08,0.24,0.0,0.0,37.0
3.76,0.17,0.0,0.0,39.0
