HARDNESS,FRIABILITY,Drug_content,Water_absorption_ratio,DISINTEGRATION_TIME
3.2,0.3,99.65,75.82,128.5
2.8,0.36,99.43,101.95,83.93
3.0,0.44,101.8,108.22,56.5
3.1,0.31,99.73,47.37,154.13
3.3,0.37,99.74,54.73,113.6
3.2,0.31,100.7,60.19,77.27
3.1,0.67,99.0,66.71,73.55
3.1,0.43,99.64,95.13,35.57
2.3,0.71,99.2,99.31,26.65
2.3,0.39,0.0,41.29,116.0
2.4,0.25,0.0,67.15,88.0
2.4,0.62,0.0,84.34,68.0
2.5,0.37,0.0,85.19,55.0
2.3,0.63,0.0,87.2,29.0
2.3,0.25,0.0,88.2,24.0
2.4,0.37,0.0,63.63,114.0
2.4,0.25,0.0,65.21,70.0
2.9,0.91,0.0,84.91,52.0
2.3,0.5,0.0,96.83,42.0
2.4,0.25,0.0,99.51,31.0
2.5,0.62,0.0,100.5,15.0
2.4,0.51,0.0,35.28,62.0
2.4,0.99,0.0,69.21,56.0
2.6,0.38,0.0,97.36,47.0
2.6,0.75,0.0,99.15,43.0
2.7,0.76,0.0,99.05,35.0
2.9,0.38,0.0,102.25,29.0
3.5,0.62,0.0,29.0,129.0
3.4,0.74,0.0,78.92,24.0
3.9,0.65,0.0,72.35,28.0
3.58,0.93,0.0,69.32,27.0
3.86,0.97,0.0,75.63,26.0
3.98,0.83,0.0,74.21,27.0
3.62,0.8,0.0,74.23,25.0
3.12,0.79,0.0,76.32,26.0
3.1,0.75,0.0,77.12,24.0
3.11,0.81,0.0,74.12,29.0
4.1,0.42,99.18,83.01,242.0
3.4,0.52,99.81,72.3,39.0
3.1,0.56,98.54,77.64,23.0
3.2,0.67,99.12,75.15,20.0
3.6,0.71,99.3,68.15,24.0
3.2,0.63,101.23,68.77,22.0
3.4,0.6,101.03,59.25,31.0
3.5,0.62,98.63,70.17,23.0
3.9,0.42,99.5,68.79,18.0
3.9,0.47,99.96,57.77,13.0
3.2,0.6,99.29,0.0,76.2
3.1,0.6,98.52,0.0,34.8
3.2,0.29,97.76,0.0,30.0
3.3,0.88,97.63,0.0,24.6
3.0,0.6,99.86,0.0,86.4
3.2,0.29,98.51,0.0,30.0
3.1,0.6,99.63,0.0,25.8
3.2,0.88,98.51,0.0,22.2
3.3,0.6,98.43,0.0,87.6
3.2,0.29,99.26,0.0,24.6
3.2,0.29,98.42,0.0,26.4
3.1,0.88,98.81,0.0,23.4
3.1,0.29,99.64,0.0,85.2
3.0,0.88,98.52,0.0,34.8
3.1,0.6,99.61,0.0,27.6
3.2,0.88,99.82,0.0,22.2
