HARDNESS,FRIABILITY,Drug_content,Water_absorption_ratio,DISINTEGRATION_TIME
3.5,0.45,0.0,70.2,45.0
3.4,0.42,0.0,73.1,23.0
3.5,0.4,0.0,79.4,21.0
3.5,0.35,0.0,84.9,18.0
3.2,0.5,0.0,71.4,58.0
3.4,0.4,0.0,75.6,32.0
3.6,0.45,0.0,86.3,17.0
3.5,0.35,0.0,92.3,13.0
3.4,0.35,0.0,82.4,22.0
3.4,0.5,0.0,90.4,11.0
3.6,0.4,0.0,86.4,14.0
3.6,0.4,0.0,92.9,11.0
3.81,0.57,0.0,78.12,56.0
3.0,0.68,0.0,80.25,54.0
3.8,0.81,0.0,82.34,48.0
3.8,0.93,0.0,85.74,45.0
3.7,0.96,0.0,86.64,41.0
3.1,0.72,0.0,88.57,37.0
3.7,0.44,0.0,90.47,32.0
3.0,0.8,0.0,93.0,27.0
3.2,0.66,0.0,91.0,30.0
3.8,0.1,0.0,0.0,34.0
3.6,0.12,0.0,0.0,26.0
4.0,0.14,0.0,0.0,34.0
3.8,0.63,0.0,0.0,27.0
4.0,0.15,0.0,0.0,35.0
3.9,0.52,0.0,0.0,26.0
3.6,0.1,0.0,0.0,25.0
3.7,0.9,0.0,0.0,30.0
3.9,0.13,0.0,0.0,24.0
4.0,0.17,0.0,0.0,26.0
3.9,0.13,0.0,0.0,18.0
3.5,0.16,0.0,0.0,29.0
3.5,0.45,100.2,0.0,90.0
3.8,0.55,99.54,0.0,150.0
4.0,0.38,101.2,0.0,77.0
3.5,0.14,101.2,0.0,52.0
3.5,0.64,99.68,0.0,65.0
