HARDNESS,FRIABILITY,Drug_content,Water_absorption_ratio,DISINTEGRATION_TIME
3.8,0.63,0.0,0.0,80.0
4.2,1.22,0.0,0.0,71.0
4.0,1.5,0.0,0.0,65.0
4.3,0.78,0.0,0.0,59.0
4.3,0.9,0.0,0.0,54.0
4.4,1.75,0.0,0.0,50.0
4.0,0.32,0.0,0.0,30.0
4.2,0.45,0.0,0.0,25.0
4.0,0.68,0.0,0.0,21.0
3.5,1.31,0.0,0.0,34.0
3.5,1.26,0.0,0.0,20.0
4.0,0.86,0.0,0.0,18.0
3.5,0.55,0.0,0.0,28.0
4.5,0.5,0.0,0.0,16.0
5.0,0.57,0.0,0.0,15.0
5.0,0.4,0.0,0.0,26.0
5.5,0.3,0.0,0.0,15.0
6.5,0.37,0.0,0.0,13.0
4.33,0.28,98.06,154.32,84.3
4.33,0.18,98.76,147.22,57.7
4.33,0.13,99.09,141.06,53.7
4.66,0.24,102.9,129.06,16.0
4.33,0.3,103.31,121.32,15.67
4.16,0.33,97.66,117.68,15.0
4.16,0.29,101.82,109.45,11.3
4.5,0.33,101.23,106.18,9.3
4.33,0.3,102.23,90.75,7.7
2.55,1.51,67.4,0.0,30.0
2.57,0.69,64.3,0.0,66.0
2.58,1.55,59.8,0.0,78.0
2.14,0.36,91.4,0.0,25.8
2.17,0.46,71.4,0.0,27.0
2.19,0.56,70.6,0.0,28.2
2.5,0.45,99.4,0.0,18.0
2.5,0.76,96.4,0.0,21.0
2.6,0.46,94.4,0.0,24.0
