HARDNESS,FRIABILITY,Drug_content,Water_absorption_ratio,DISINTEGRATION_TIME
2.56,0.45,0.0,109.0,22.0
2.52,0.53,0.0,100.0,18.0
3.46,0.49,0.0,96.0,10.0
3.32,0.57,0.0,97.0,38.0
2.91,0.68,0.0,87.0,26.0
2.96,0.62,0.0,107.0,19.0
3.46,0.51,0.0,108.0,60.0
3.05,0.63,0.0,99.0,55.0
3.04,0.65,0.0,95.0,30.0
4.2,0.52,99.21,0.0,46.33
3.9,0.69,99.0,0.0,37.53
3.4,0.49,99.14,0.0,29.0
3.8,0.56,99.13,0.0,46.67
3.5,0.77,99.42,0.0,32.28
3.4,0.59,99.01,0.0,28.0
4.1,0.66,99.21,0.0,40.2
3.9,0.64,99.13,0.0,37.58
3.7,0.71,99.19,0.0,23.33
2.56,0.45,0.0,109.0,22.0
2.52,0.53,0.0,100.0,18.0
3.46,0.49,0.0,96.0,10.0
3.32,0.57,0.0,97.0,38.0
2.91,0.68,0.0,87.0,26.0
2.96,0.62,0.0,107.0,19.0
3.46,0.51,0.0,108.0,60.0
3.05,0.63,0.0,99.0,55.0
3.04,0.65,0.0,95.0,30.0
4.81,0.57,98.3,48.0,189.0
3.0,0.68,97.2,73.0,52.0
2.8,0.81,98.7,76.0,45.0
2.8,0.93,96.7,79.0,38.0
2.7,0.96,98.2,65.0,56.0
3.1,0.72,95.8,71.0,42.0
3.7,0.44,99.4,75.0,35.0
3.0,0.8,97.2,68.0,50.0
3.2,0.66,97.3,74.0,39.0
3.6,0.49,96.2,84.0,31.0
