HARDNESS,FRIABILITY,Drug_content,Water_absorption_ratio,DISINTEGRATION_TIME
3.53,0.4,95.53,56.64,20.0
3.46,0.4,94.24,58.46,21.0
3.5,0.8,98.65,57.77,16.0
3.6,0.53,99.67,58.22,11.0
3.6,0.67,97.84,57.61,25.0
3.56,0.39,99.16,57.04,18.0
3.43,0.53,99.38,58.14,25.0
3.3,0.8,98.1,58.09,22.0
3.6,0.4,0.0,0.0,21.16
3.8,0.43,0.0,0.0,19.48
3.7,0.47,0.0,0.0,22.11
3.6,0.42,0.0,0.0,20.12
3.8,0.45,0.0,0.0,19.32
3.6,0.47,0.0,0.0,19.48
3.5,0.55,0.0,0.0,13.12
3.4,0.59,0.0,0.0,12.42
3.6,0.46,0.0,0.0,16.52
4.16,0.2,0.0,60.94,13.0
5.5,0.2,0.0,50.03,13.7
4.3,0.2,0.0,68.5,13.1
5.6,0.4,0.0,87.3,9.5
4.23,0.06,0.0,80.7,10.8
3.5,0.06,0.0,80.09,10.6
3.2,0.13,0.0,70.72,13.0
4.16,0.06,0.0,30.92,9.3
4.06,0.06,0.0,86.7,12.1
4.83,0.13,0.0,68.7,10.6
4.13,0.55,0.0,39.91,71.0
3.6,0.68,0.0,60.54,59.0
6.5,0.69,0.0,55.86,46.0
4.16,2.7,0.0,58.01,38.8
6.4,0.69,0.0,67.04,28.3
5.83,1.05,0.0,54.37,49.7
6.16,0.75,0.0,58.87,52.0
6.06,0.55,0.0,71.37,33.0
5.0,0.69,0.0,68.02,38.5
5.33,0.76,0.0,60.92,24.6
