HARDNESS,FRIABILITY,Drug_content,Water_absorption_ratio,DISINTEGRATION_TIME
2.2,0.8,0.0,0.0,80.0
1.6,0.8,0.0,0.0,59.0
1.5,0.1,0.0,0.0,40.0
1.5,0.3,0.0,0.0,48.0
2.0,0.1,0.0,0.0,138.0
1.8,0.1,0.0,0.0,95.0
2.2,0.1,0.0,0.0,60.0
1.8,0.2,0.0,0.0,49.0
2.0,0.5,0.0,0.0,69.0
3.2,0.3,0.0,0.0,83.0
1.6,0.3,0.0,0.0,90.0
2.5,0.8,0.0,0.0,120.0
2.0,0.8,0.0,0.0,145.0
1.5,0.1,0.0,0.0,37.0
1.5,0.1,0.0,0.0,47.0
1.5,0.2,0.0,0.0,62.0
1.8,0.1,0.0,0.0,75.0
1.5,0.1,0.0,0.0,82.0
1.8,0.1,0.0,0.0,96.0
1.8,0.1,0.0,0.0,105.0
1.5,0.5,93.33,0.0,35.0
6.38,0.35,0.0,12.51,35.0
6.1,0.56,0.0,13.56,39.0
7.95,0.29,0.0,14.25,32.0
6.95,0.26,0.0,15.16,22.0
5.94,0.54,0.0,16.59,31.0
3.3,0.92,100.24,12.1,188.0
3.1,0.91,99.23,13.3,36.0
3.0,0.93,99.99,16.88,21.0
2.9,1.01,100.36,18.24,27.0
2.8,1.12,99.11,18.2,29.0
3.22,0.93,98.23,13.68,31.0
3.32,0.91,99.89,17.22,18.0
3.55,1.11,100.16,17.0,25.0
3.2,1.34,99.41,17.25,28.0
3.0,0.97,99.43,16.1,35.0
3.1,0.94,99.89,19.18,27.0
2.9,0.91,101.36,21.34,30.0
2.8,1.22,99.01,22.34,32.0
