HARDNESS,FRIABILITY,Drug_content,Water_absorption_ratio,DISINTEGRATION_TIME
3.6,0.73,0.0,0.0,85.0
3.8,0.65,0.0,0.0,37.0
3.5,0.46,0.0,0.0,22.0
4.2,0.38,0.0,0.0,71.0
3.6,0.43,0.0,0.0,96.0
3.2,0.49,0.0,0.0,29.0
3.1,0.21,0.0,0.0,300.0
3.0,0.23,0.0,0.0,270.0
3.0,0.3,0.0,0.0,190.1
3.0,0.21,95.36,48.0,92.33
3.0,0.26,93.37,52.66,77.67
3.0,0.25,97.53,58.33,47.0
3.1,0.22,96.58,62.0,60.66
3.1,0.29,97.36,70.66,86.33
3.0,0.37,0.0,0.0,120.5
3.0,0.33,0.0,0.0,120.5
3.0,0.28,0.0,0.0,89.32
3.0,0.39,0.0,0.0,98.33
3.1,0.41,0.0,0.0,110.2
3.14,0.39,98.23,49.42,24.0
3.16,0.37,97.89,44.17,20.0
3.27,0.33,98.75,38.16,17.0
3.15,0.41,98.34,59.46,35.0
3.16,0.28,98.45,55.16,27.0
3.19,0.48,99.24,49.14,25.0
3.24,0.36,96.92,61.9,51.0
3.17,0.39,98.15,59.62,49.0
3.21,0.39,98.82,56.04,48.0
2.9,0.47,98.84,0.0,16.0
2.9,0.4,98.57,0.0,18.0
3.0,0.47,98.12,0.0,42.0
2.9,0.4,99.78,0.0,20.0
3.0,0.42,97.52,0.0,24.0
3.0,0.4,95.26,0.0,51.0
2.9,0.53,97.32,0.0,22.0
2.8,0.6,98.42,0.0,18.0
2.8,0.59,98.05,0.0,47.0
3.69,0.41,98.23,61.42,23.0
3.93,0.36,97.89,60.71,19.0
3.71,0.29,99.21,59.26,14.0
3.51,0.61,98.34,57.64,31.0
3.36,0.42,98.45,58.26,25.0
3.59,0.51,99.24,60.41,22.0
3.72,0.34,97.92,63.39,39.0
3.42,0.39,99.11,65.26,26.0
3.31,0.41,98.31,66.04,28.0
