HARDNESS,FRIABILITY,Drug_content,Water_absorption_ratio,DISINTEGRATION_TIME
3.8,0.24,0.0,0.0,16.0
3.7,0.25,0.0,0.0,17.0
4.2,0.27,0.0,0.0,16.0
3.9,0.22,0.0,0.0,16.0
3.35,0.632,98.7,10.71,53.0
3.35,0.783,99.12,7.02,48.0
3.35,0.783,99.78,11.26,39.0
3.35,0.679,97.31,7.28,59.0
3.35,0.526,98.96,10.82,54.0
3.35,0.763,98.33,10.94,49.0
3.35,0.592,103.37,10.41,72.0
3.35,0.697,98.62,10.75,60.0
3.35,0.455,99.29,10.87,56.0
2.0,0.9,0.0,91.7,22.0
2.5,0.62,0.0,131.0,25.0
3.0,0.31,0.0,132.0,26.0
2.0,0.9,0.0,126.0,20.0
2.5,0.65,0.0,134.0,15.0
3.0,0.33,0.0,135.0,22.0
2.0,0.9,0.0,128.0,19.0
2.5,0.68,0.0,129.0,20.0
3.0,0.38,0.0,122.0,30.0
3.4,0.53,0.0,0.0,36.0
3.3,0.21,0.0,0.0,45.0
3.3,0.28,0.0,0.0,39.0
3.1,0.19,0.0,0.0,43.0
3.0,0.2,0.0,0.0,49.0
3.4,0.23,0.0,0.0,44.0
5.6,0.48,98.64,0.0,44.0
5.8,0.62,99.18,0.0,91.0
5.7,0.52,98.74,0.0,51.0
6.1,0.58,99.21,0.0,148.0
9.17,0.017,100.2,0.0,96.0
2.5,0.36,90.35,0.0,60.0
2.5,0.62,97.07,0.0,30.0
3.0,0.33,95.02,0.0,30.0
3.2,0.5,97.23,0.0,30.0
3.2,0.39,99.08,0.0,30.0
2.5,0.34,61.23,0.0,69.0
2.5,0.48,68.52,0.0,55.0
3.0,0.35,70.01,0.0,50.0
3.2,0.52,71.26,0.0,47.0
3.2,0.36,73.05,0.0,42.0
4.0,0.76,100.0,0.0,27.0
5.6,0.48,98.64,0.0,44.0
5.8,0.62,99.18,0.0,91.0
5.7,0.52,98.74,0.0,51.0
6.1,0.58,99.21,0.0,148.0
